holiday,ds,lower_window,upper_window
8 dias oro,2018-11-05,0,0
8 dias oro,2018-11-06,0,0
8 dias oro,2018-11-07,0,0
8 dias oro,2018-11-08,0,0
8 dias oro,2018-11-09,0,0
8 dias oro,2018-11-10,0,0
dia padre,2019-03-12,0,0
dia padre,2019-03-13,0,0
dia padre,2019-03-14,0,0
dia padre,2019-03-15,0,0
dia padre,2019-03-16,0,0
primavera digital,2019-03-16,0,0
primavera digital,2019-03-17,0,0
dia padre,2019-03-17,0,0
dia padre,2019-03-18,0,0
primavera digital,2019-03-18,0,0
primavera digital,2019-03-19,0,0
dia padre,2019-03-19,0,0
primavera digital,2019-03-20,0,0
primavera digital,2019-03-21,0,0
primavera digital,2019-03-22,0,0
primavera digital,2019-03-23,0,0
primavera digital,2019-03-24,0,0
primavera digital,2019-03-25,0,0
primavera digital,2019-03-26,0,0
primavera digital,2019-03-27,0,0
primavera digital,2019-03-28,0,0
primavera digital,2019-03-29,0,0
primavera digital,2019-03-30,0,0
primavera digital,2019-03-31,0,0
primavera digital,2019-04-01,0,0
dia madre,2019-04-28,0,0
dia madre,2019-04-29,0,0
dia madre,2019-04-30,0,0
dia madre,2019-05-01,0,0
dia madre,2019-05-02,0,0
dia madre,2019-05-03,0,0
dia madre,2019-05-04,0,0
dia madre,2019-05-05,0,0
semana internet,2019-10-05,0,0
semana internet,2019-10-06,0,0
semana internet,2019-10-07,0,0
semana internet,2019-10-08,0,0
semana internet,2019-10-09,0,0
semana internet,2019-10-10,0,0
semana internet,2019-10-11,0,0
semana internet,2019-10-12,0,0
noche buena,2015-12-24,-2,0
noche buena,2016-12-24,-2,0
noche buena,2017-12-24,-2,0
noche buena,2018-12-24,-2,0
noche buena,2019-12-24,-2,0
noche vieja,2015-12-31,-2,0
noche vieja,2016-12-31,-2,0
noche vieja,2017-12-31,-2,0
noche vieja,2018-12-31,-2,0
noche vieja,2019-12-31,-2,0
vuelta al cole,2015-09-01,0,0
vuelta al cole,2015-09-02,0,0
vuelta al cole,2015-09-03,0,0
vuelta al cole,2015-09-04,0,0
vuelta al cole,2015-09-05,0,0
x black friday,2015-11-24,0,0
x black friday,2015-11-25,0,0
j black friday,2015-11-26,0,0
v black friday,2015-11-27,0,0
s black friday,2015-11-28,0,0
d black friday,2015-11-29,0,0
cyber monday,2015-11-30,0,0
j venta privada,2015-12-10,0,0
v venta privada,2015-12-11,0,0
s venta privada,2015-12-12,0,0
d venta privada,2015-12-13,0,0
l venta privada,2015-12-14,0,0
m venta privada,2015-12-15,0,0
semana reyes,2016-01-02,0,0
semana reyes,2016-01-03,0,0
semana reyes,2016-01-04,0,0
semana reyes,2016-01-05,0,0
inicio rebajas,2016-01-07,0,0
primera semana rebajas ,2016-01-08,0,0
primera semana rebajas ,2016-01-09,0,0
primera semana rebajas ,2016-01-10,0,0
rebajas,2016-01-11,0,0
rebajas,2016-01-12,0,0
rebajas,2016-01-13,0,0
rebajas,2016-01-14,0,0
rebajas,2016-01-15,0,0
rebajas,2016-01-16,0,0
rebajas,2016-01-17,0,0
rebajas,2016-01-18,0,0
rebajas,2016-01-19,0,0
rebajas,2016-01-20,0,0
rebajas,2016-01-21,0,0
rebajas,2016-01-22,0,0
dia sin iva,2016-01-23,0,0
j venta privada,2016-06-09,0,0
v venta privada,2016-06-10,0,0
dia sin iva,2016-06-11,0,0
d venta privada,2016-06-12,0,0
l venta privada,2016-06-13,0,0
m venta privada,2016-06-14,0,0
prerebajas,2016-06-30,0,0
inicio rebajas,2016-07-01,0,0
inicio rebajas,2016-07-02,0,0
inicio rebajas,2016-07-03,0,0
primera semana rebajas ,2016-07-04,0,0
primera semana rebajas ,2016-07-05,0,0
primera semana rebajas ,2016-07-06,0,0
primera semana rebajas ,2016-07-07,0,0
rebajas,2016-07-08,0,0
rebajas,2016-07-09,0,0
rebajas,2016-07-10,0,0
rebajas,2016-07-11,0,0
rebajas,2016-07-12,0,0
rebajas,2016-07-13,0,0
rebajas,2016-07-14,0,0
rebajas,2016-07-15,0,0
rebajas,2016-07-16,0,0
rebajas,2016-07-17,0,0
rebajas,2016-07-18,0,0
rebajas,2016-07-19,0,0
rebajas,2016-07-20,0,0
vuelta al cole,2016-08-28,0,0
vuelta al cole,2016-08-29,0,0
vuelta al cole,2016-08-30,0,0
vuelta al cole,2016-08-31,0,0
vuelta al cole,2016-09-01,0,0
vuelta al cole,2016-09-02,0,0
vuelta al cole,2016-09-03,0,0
vuelta al cole,2016-09-04,0,0
vuelta al cole,2016-09-05,0,0
x black friday,2016-11-22,0,0
x black friday,2016-11-23,0,0
j black friday,2016-11-24,0,0
v black friday,2016-11-25,0,0
s black friday,2016-11-26,0,0
d black friday,2016-11-27,0,0
cyber monday,2016-11-28,0,0
j venta privada,2016-12-08,0,0
v venta privada,2016-12-09,0,0
s venta privada,2016-12-10,0,0
d venta privada,2016-12-11,0,0
l venta privada,2016-12-12,0,0
m venta privada,2016-12-13,0,0
semana reyes,2017-01-02,0,0
semana reyes,2017-01-03,0,0
semana reyes,2017-01-04,0,0
semana reyes,2017-01-05,0,0
inicio rebajas,2017-01-07,0,0
primera semana rebajas ,2017-01-08,0,0
primera semana rebajas ,2017-01-09,0,0
primera semana rebajas ,2017-01-10,0,0
rebajas,2017-01-11,0,0
rebajas,2017-01-12,0,0
rebajas,2017-01-13,0,0
rebajas,2017-01-14,0,0
rebajas,2017-01-15,0,0
rebajas,2017-01-16,0,0
rebajas,2017-01-17,0,0
rebajas,2017-01-18,0,0
rebajas,2017-01-19,0,0
rebajas,2017-01-20,0,0
dia sin iva,2017-01-21,0,0
j venta privada,2017-06-08,0,0
v venta privada,2017-06-09,0,0
s venta privada,2017-06-10,0,0
d venta privada,2017-06-11,0,0
l venta privada,2017-06-12,0,0
m venta privada,2017-06-13,0,0
dia sin iva,2017-06-17,0,0
prerebajas,2017-06-29,0,0
inicio rebajas,2017-06-30,0,0
inicio rebajas,2017-07-01,0,0
inicio rebajas,2017-07-02,0,0
primera semana rebajas ,2017-07-03,0,0
primera semana rebajas ,2017-07-04,0,0
primera semana rebajas ,2017-07-05,0,0
primera semana rebajas ,2017-07-06,0,0
rebajas,2017-07-07,0,0
rebajas,2017-07-08,0,0
rebajas,2017-07-09,0,0
rebajas,2017-07-10,0,0
rebajas,2017-07-11,0,0
rebajas,2017-07-12,0,0
rebajas,2017-07-13,0,0
rebajas,2017-07-14,0,0
rebajas,2017-07-15,0,0
rebajas,2017-07-16,0,0
rebajas,2017-07-17,0,0
rebajas,2017-07-18,0,0
rebajas,2017-07-19,0,0
rebajas,2017-07-20,0,0
vuelta al cole,2017-08-28,0,0
vuelta al cole,2017-08-29,0,0
vuelta al cole,2017-08-30,0,0
vuelta al cole,2017-08-31,0,0
vuelta al cole,2017-09-01,0,0
vuelta al cole,2017-09-02,0,0
vuelta al cole,2017-09-03,0,0
vuelta al cole,2017-09-04,0,0
vuelta al cole,2017-09-05,0,0
x black friday,2017-11-21,0,0
x black friday,2017-11-22,0,0
j black friday,2017-11-23,0,0
v black friday,2017-11-24,0,0
s black friday,2017-11-25,0,0
d black friday,2017-11-26,0,0
cyber monday,2017-11-27,0,0
j venta privada,2017-12-07,0,0
v venta privada,2017-12-08,0,0
s venta privada,2017-12-09,0,0
d venta privada,2017-12-10,0,0
l venta privada,2017-12-11,0,0
m venta privada,2017-12-12,0,0
semana reyes,2018-01-02,0,0
semana reyes,2018-01-03,0,0
semana reyes,2018-01-04,0,0
semana reyes,2018-01-05,0,0
inicio rebajas,2018-01-07,0,0
primera semana rebajas ,2018-01-08,0,0
primera semana rebajas ,2018-01-09,0,0
primera semana rebajas ,2018-01-10,0,0
rebajas,2018-01-11,0,0
rebajas,2018-01-12,0,0
rebajas,2018-01-13,0,0
rebajas,2018-01-14,0,0
rebajas,2018-01-15,0,0
rebajas,2018-01-16,0,0
rebajas,2018-01-17,0,0
rebajas,2018-01-18,0,0
rebajas,2018-01-19,0,0
dia sin iva,2018-01-20,0,0
